dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
eu-water-6d928dcec6b2,Nitrate Concentrations - IE,,0,agricultural_runoff,IE,IE Regional Water Authority,regional,,,,0,2026-02-05,monthly,region_name,False,CC0,True,4,,False,1,False,0.545,Partial,0.8,0.6,0.5,0.0,1.0,0.0,0.5,0.365,Insufficient,0.0,0.0,1.0,0.5,0.0,1.0,0.8,0.355,Insufficient,0.5,0.3,0.4,0.0,0.0,1.0,0.8
eu-water-2050353550b3,Groundwater Body Status - IT,Time series data for quantitative status parameters measured at multiple locations.,11,groundwater,IT,European Environment Agency,eu_agency,GeoTIFF,2018-01-01,2024-12-31,6,2024-06-26,irregular,coordinates,True,,False,0,,True,5,True,0.445,Partial,0.1,0.2,1.0,0.8,0.0,0.2,1.0,0.6450000000000001,Partial,1.0,0.2,0.8,1.0,0.8,0.0,0.1,0.735,Ready,1.0,1.0,0.7,0.8,0.2,0.0,0.1
eu-water-cfe54c3e8f11,European Wastewater Treatment Data,,0,utilities,EU,EU Hydrological Service,national_hydro,PDF,,,0,2025-12-08,annual,,False,,False,1,water services,True,1,False,0.265,Insufficient,0.5,0.3,0.0,0.2,0.0,0.0,1.0,0.19499999999999998,Insufficient,0.0,0.0,0.0,1.0,0.2,0.0,0.5,0.5650000000000001,Partial,1.0,0.3,1.0,0.2,0.0,0.0,0.5
eu-water-fe4d2e6dca62,Pressures and Impacts - DE,Spatial dataset representing WFD conditions based on field surveys and modeling. Updated regularly as part of ongoing monitoring programs.,19,wfd_metrics,DE,Copernicus,eu_agency,API,,,0,2022-06-28,monthly,coordinates,True,CC-BY-4.0,True,2,Water Framework Directive|pressures and impacts,False,4,True,0.62,Partial,0.1,0.6,1.0,1.0,1.0,0.2,0.3,0.41000000000000003,Partial,0.0,0.2,0.8,0.3,1.0,1.0,0.1,0.6400000000000001,Partial,0.3,1.0,0.7,1.0,0.2,1.0,0.1
eu-water-0a95118ee2d1,Surface Water Chemistry - EE,Spatial dataset representing water quality conditions based on field surveys and modeling.,12,water_quality,EE,EE Ministry of Agriculture,ministry,CSV,2016-01-01,2022-12-31,6,2025-11-27,irregular,coordinates,True,EU-ODP,True,0,,False,1,False,0.61,Partial,0.5,0.2,1.0,0.9,1.0,0.2,0.0,0.625,Partial,1.0,0.2,0.8,0.0,0.9,1.0,0.5,0.37000000000000005,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.5
eu-water-75fe236e1bf6,Drinking Water Quality - IE,,0,utilities,IE,IE Ministry of Environment,ministry,NetCDF,2021-01-01,2024-12-31,3,2022-03-16,irregular,,False,EU-ODP,True,3,drinking water|water services|wastewater,False,1,False,0.3175,Insufficient,0.1,0.2,0.0,0.85,1.0,0.0,0.5,0.41500000000000004,Partial,0.6,0.0,0.0,0.5,0.85,1.0,0.1,0.4475,Partial,0.5,0.3,0.4,0.85,0.0,1.0,0.1
eu-water-6636ca03a975,Biological Quality Elements - IT,Spatial dataset representing biological quality conditions based on field surveys and modeling.,12,water_quality,IT,IT Environmental Agency,national_hydro,NetCDF,2015-01-01,2020-12-31,5,2022-01-23,annual,,False,EU-ODP,True,0,,False,1,False,0.3225,Insufficient,0.1,0.3,0.0,0.85,1.0,0.2,0.0,0.38,Insufficient,0.6,0.2,0.0,0.0,0.85,1.0,0.1,0.3425,Insufficient,0.0,0.3,0.4,0.85,0.2,1.0,0.1
eu-water-fc28df93ec70,Pressures and Impacts - ES,Spatial dataset representing WFD conditions based on field surveys and modeling.,11,wfd_metrics,ES,Copernicus,eu_agency,CSV,2020-01-01,2023-12-31,3,2022-08-21,unknown,region_name,False,restricted,False,1,pressures and impacts,False,1,False,0.31500000000000006,Insufficient,0.1,0.0,0.5,0.9,0.3,0.2,0.3,0.51,Partial,0.6,0.2,1.0,0.3,0.9,0.3,0.1,0.39000000000000007,Insufficient,0.3,0.3,0.4,0.9,0.2,0.3,0.1
eu-water-a6d9795fa6df,Wastewater Treatment Data - FI,Time series data for water utility parameters measured at multiple locations.,11,utilities,FI,FI Hydrological Service,national_hydro,,2017-01-01,2020-12-31,3,2024-01-08,irregular,coordinates,True,CC0,True,0,,False,1,False,0.375,Insufficient,0.1,0.2,1.0,0.0,1.0,0.2,0.0,0.41500000000000004,Partial,0.6,0.2,0.8,0.0,0.0,1.0,0.1,0.21500000000000002,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-5ee05809a0ad,Groundwater Level Measurements - RO,,0,groundwater,RO,RO Regional Water Authority,regional,Shapefile,,,0,2025-11-29,monthly,region_name,False,,False,2,groundwater|groundwater body,False,1,False,0.4725,Partial,0.5,0.6,0.5,0.75,0.0,0.0,0.3,0.29500000000000004,Insufficient,0.0,0.0,1.0,0.3,0.75,0.0,0.5,0.35250000000000004,Insufficient,0.3,0.3,0.4,0.75,0.0,0.0,0.5
eu-water-7010991e08cd,Groundwater Level Measurements - HR,Time series data for groundwater body parameters measured at multiple locations. Data quality has been validated according to standard procedures.,20,groundwater,HR,Copernicus,eu_agency,,2002-01-01,2022-12-31,20,2022-08-06,unknown,coordinates,True,CC0,True,0,,True,3,True,0.395,Insufficient,0.1,0.0,1.0,0.0,1.0,0.4,1.0,0.705,Ready,1.0,0.4,0.8,1.0,0.0,1.0,0.1,0.685,Partial,1.0,1.0,0.7,0.0,0.4,1.0,0.1
eu-water-7e8a03fcb808,Flood Risk Assessment - PT,This dataset contains flood hazard data collected from monitoring stations across the region.,13,floods,PT,PT River Basin District,regional,,,,0,2026-01-19,monthly,,False,CC0,True,5,flood|flash flood|flood risk|river flood|coastal flood,False,1,False,0.45500000000000007,Partial,0.8,0.6,0.0,0.0,1.0,0.2,0.5,0.255,Insufficient,0.0,0.2,0.0,0.5,0.0,1.0,0.8,0.375,Insufficient,0.5,0.3,0.4,0.0,0.2,1.0,0.8
eu-water-17a6a4d900d4,Groundwater Level Measurements - PL,,0,groundwater,PL,PL Regional Water Authority,regional,,,,0,2025-12-09,annual,,False,,False,3,quantitative status|groundwater level|aquifer,True,5,True,0.235,Insufficient,0.5,0.3,0.0,0.0,0.0,0.0,1.0,0.175,Insufficient,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.615,Partial,1.0,1.0,0.7,0.0,0.0,0.0,0.5
eu-water-b22179699520,Drinking Water Quality - IT,,0,utilities,IT,IT Environmental Agency,national_hydro,NetCDF,,,0,2025-12-03,monthly,,False,,False,1,water treatment,False,1,False,0.3875,Insufficient,0.5,0.6,0.0,0.85,0.0,0.0,0.3,0.155,Insufficient,0.0,0.0,0.0,0.3,0.85,0.0,0.5,0.36750000000000005,Insufficient,0.3,0.3,0.4,0.85,0.0,0.0,0.5
eu-water-dfc3608191a4,Integrated Water Resources - IT,This dataset contains monitoring data collected from monitoring stations across the region.,12,cross_cutting,IT,IT Hydrological Service,national_hydro,CSV,2014-01-01,2020-12-31,6,2024-10-13,monthly,region_name,False,,False,0,,False,1,False,0.39,Insufficient,0.1,0.6,0.5,0.9,0.0,0.2,0.0,0.535,Partial,1.0,0.2,1.0,0.0,0.9,0.0,0.1,0.30000000000000004,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1
eu-water-fc73cef23b72,Drinking Water Quality - DE,Comprehensive wastewater information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,16,utilities,DE,DE Ministry of Environment,ministry,,2004-01-01,2024-12-31,20,2024-02-11,weekly,country_level,False,,False,0,,True,1,False,0.305,Insufficient,0.1,0.8,0.3,0.0,0.0,0.2,1.0,0.52,Partial,1.0,0.2,0.5,1.0,0.0,0.0,0.1,0.41500000000000004,Partial,1.0,0.3,0.4,0.0,0.2,0.0,0.1
eu-water-a6dad567da8b,Remote Sensing Water Data - IE,This dataset contains data data collected from monitoring stations across the region. Data quality has been validated according to standard procedures.,21,cross_cutting,IE,Joint Research Centre,eu_agency,CSV,2010-01-01,2020-12-31,10,2025-12-25,unknown,coordinates,True,,False,3,,True,2,True,0.53,Partial,0.5,0.0,1.0,0.9,0.0,0.4,1.0,0.715,Ready,1.0,0.4,0.8,1.0,0.9,0.0,0.5,0.79,Ready,1.0,1.0,0.7,0.9,0.4,0.0,0.5
eu-water-5295c505b7e6,Programme of Measures - BG,This dataset contains Water Framework Directive data collected from monitoring stations across the region. Includes both raw measurements and derived indicators.,21,wfd_metrics,BG,European Environment Agency,eu_agency,Shapefile,2021-01-01,2023-12-31,2,2025-03-06,annual,,False,CC-BY-SA-4.0,True,2,water body status|Water Framework Directive,False,2,True,0.38250000000000006,Insufficient,0.3,0.3,0.0,0.75,1.0,0.4,0.3,0.39,Insufficient,0.3,0.4,0.0,0.3,0.75,1.0,0.3,0.6325000000000002,Partial,0.3,1.0,0.7,0.75,0.4,1.0,0.3
eu-water-68cf4f9a1c2e,Groundwater Level Measurements - IE,Comprehensive groundwater body information compiled under EU reporting requirements. Includes both raw measurements and derived indicators.,16,groundwater,IE,Copernicus,eu_agency,GeoTIFF,,,0,2025-11-27,monthly,bbox,True,CC-BY-SA-4.0,True,0,,True,1,False,0.725,Ready,0.5,0.6,1.0,0.8,1.0,0.2,1.0,0.515,Partial,0.0,0.2,0.8,1.0,0.8,1.0,0.5,0.6050000000000001,Partial,1.0,0.3,0.4,0.8,0.2,1.0,0.5
eu-water-b930c8acc40b,European Biological Quality Elements,,0,water_quality,EU,EU Regional Water Authority,regional,JSON,,,0,2024-04-12,irregular,,False,EU-ODP,True,1,drinking water,False,1,False,0.31500000000000006,Insufficient,0.1,0.2,0.0,0.9,1.0,0.0,0.3,0.24000000000000002,Insufficient,0.0,0.0,0.0,0.3,0.9,1.0,0.1,0.525,Partial,0.3,0.3,1.0,0.9,0.0,1.0,0.1
eu-water-5cf2c959d841,Flood Risk Assessment - EE,,0,floods,EE,EE Ministry of Environment,ministry,NetCDF,,,0,2024-05-12,daily,coordinates,True,custom_open,True,0,,False,2,True,0.6525,Partial,0.1,1.0,1.0,0.85,1.0,0.0,0.0,0.31000000000000005,Insufficient,0.0,0.0,0.8,0.0,0.85,1.0,0.1,0.5225,Partial,0.0,1.0,0.7,0.85,0.0,1.0,0.1
eu-water-39fc49147a5c,Climate Water Projections - DE,Time series data for monitoring parameters measured at multiple locations. Updated regularly as part of ongoing monitoring programs.,18,cross_cutting,DE,DE Ministry of Agriculture,ministry,,2024-01-01,2025-12-31,1,2024-03-10,annual,region_name,False,custom_open,True,0,,False,1,False,0.29500000000000004,Insufficient,0.1,0.3,0.5,0.0,1.0,0.2,0.0,0.37,Insufficient,0.3,0.2,1.0,0.0,0.0,1.0,0.1,0.21500000000000002,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-d2587b22471c,Groundwater Level Measurements - SE,Comprehensive hydrogeology information compiled under EU reporting requirements.,8,groundwater,SE,SE Hydrological Service,national_hydro,CSV,2016-01-01,2021-12-31,5,2026-01-28,annual,country_level,False,,False,2,aquifer|groundwater,True,4,True,0.515,Partial,0.8,0.3,0.3,0.9,0.0,0.2,1.0,0.545,Partial,0.6,0.2,0.5,1.0,0.9,0.0,0.8,0.785,Ready,1.0,1.0,0.7,0.9,0.2,0.0,0.8
eu-water-3a7f3bcc17d7,Flood Risk Assessment - AT,Aggregated statistics on river flood derived from national reporting systems. Harmonized with EU-level reporting standards.,15,floods,AT,AT River Basin District,regional,,,,0,2026-01-20,annual,coordinates,True,custom_open,True,5,flash flood|coastal flood|flood risk|flood|flood hazard,False,1,False,0.5950000000000001,Partial,0.8,0.3,1.0,0.0,1.0,0.2,0.5,0.375,Insufficient,0.0,0.2,0.8,0.5,0.0,1.0,0.8,0.375,Insufficient,0.5,0.3,0.4,0.0,0.2,1.0,0.8
eu-water-51a6862b52a6,Aquifer Characteristics - LU,,0,groundwater,LU,LU Regional Water Authority,regional,GeoTIFF,2015-01-01,2020-12-31,5,2025-12-14,monthly,region_name,False,custom_open,True,0,,False,1,False,0.565,Partial,0.5,0.6,0.5,0.8,1.0,0.0,0.0,0.505,Partial,0.6,0.0,1.0,0.0,0.8,1.0,0.5,0.335,Insufficient,0.0,0.3,0.4,0.8,0.0,1.0,0.5
eu-water-e8d22bcb7ede,Surface Water Chemistry - CY,Comprehensive bathing water information compiled under EU reporting requirements. Harmonized with EU-level reporting standards.,14,water_quality,CY,CY Ministry of Environment,ministry,GeoTIFF,,,0,2023-10-01,monthly,bbox,True,,False,0,,True,1,False,0.525,Partial,0.1,0.6,1.0,0.8,0.0,0.2,1.0,0.395,Insufficient,0.0,0.2,0.8,1.0,0.8,0.0,0.1,0.535,Partial,1.0,0.3,0.4,0.8,0.2,0.0,0.1
eu-water-b045c3fa8c9a,Historical Flood Events - NL,Aggregated statistics on inundation derived from national reporting systems.,9,floods,NL,European Environment Agency,eu_agency,PDF,2009-01-01,2024-12-31,15,2025-11-07,weekly,region_name,False,EU-ODP,True,3,flood hazard|flood|flash flood,True,4,True,0.5250000000000001,Partial,0.3,0.8,0.5,0.2,1.0,0.2,1.0,0.7250000000000001,Ready,1.0,0.2,1.0,1.0,0.2,1.0,0.3,0.7050000000000001,Ready,1.0,1.0,0.7,0.2,0.2,1.0,0.3
eu-water-77993031967c,Surface Water Chemistry - NL,,0,water_quality,NL,University of NL,research,CSV,2017-01-01,2022-12-31,5,2022-12-11,monthly,bbox,True,CC-BY-SA-4.0,True,0,,False,1,False,0.58,Partial,0.1,0.6,1.0,0.9,1.0,0.0,0.0,0.4650000000000001,Partial,0.6,0.0,0.8,0.0,0.9,1.0,0.1,0.33,Insufficient,0.0,0.3,0.4,0.9,0.0,1.0,0.1
eu-water-c6d67e797c0e,Water Supply Statistics - DE,Spatial dataset representing drinking water conditions based on field surveys and modeling. Includes both raw measurements and derived indicators.,19,utilities,DE,DE Ministry of Environment,ministry,JSON,2019-01-01,2025-12-31,6,2022-10-25,annual,,False,CC0,True,0,,False,1,False,0.33,Insufficient,0.1,0.3,0.0,0.9,1.0,0.2,0.0,0.4850000000000001,Partial,1.0,0.2,0.0,0.0,0.9,1.0,0.1,0.35000000000000003,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.1
eu-water-31f4984b696e,Water Quality Monitoring Data - ES,This dataset contains chemical status data collected from monitoring stations across the region.,13,water_quality,ES,ES Ministry of Environment,ministry,,2018-01-01,2024-12-31,6,2026-01-13,irregular,coordinates,True,,False,0,,False,1,False,0.375,Insufficient,0.5,0.2,1.0,0.0,0.0,0.2,0.0,0.43500000000000005,Partial,1.0,0.2,0.8,0.0,0.0,0.0,0.5,0.18500000000000003,Insufficient,0.0,0.3,0.4,0.0,0.2,0.0,0.5
eu-water-8a72ffd20c42,Water Supply Statistics - FR,,0,utilities,FR,FR Hydrological Service,national_hydro,CSV,2012-01-01,2022-12-31,10,2026-01-04,weekly,country_level,False,CC-BY-SA-4.0,True,0,,False,1,False,0.5800000000000001,Partial,0.5,0.8,0.3,0.9,1.0,0.0,0.0,0.54,Partial,1.0,0.0,0.5,0.0,0.9,1.0,0.5,0.35000000000000003,Insufficient,0.0,0.3,0.4,0.9,0.0,1.0,0.5
eu-water-cf06da41deb9,Flood Hazard Maps - PL,Time series data for coastal flood parameters measured at multiple locations.,11,floods,PL,PL Ministry of Environment,ministry,NetCDF,,,0,2026-01-15,unknown,coordinates,True,CC-BY-SA-4.0,True,1,inundation,False,5,True,0.5775,Partial,0.5,0.0,1.0,0.85,1.0,0.2,0.3,0.41500000000000004,Partial,0.0,0.2,0.8,0.3,0.85,1.0,0.5,0.6375000000000001,Partial,0.3,1.0,0.7,0.85,0.2,1.0,0.5
eu-water-19fce30585cd,Pressures and Impacts - ES,Spatial dataset representing WFD conditions based on field surveys and modeling. Includes both raw measurements and derived indicators.,18,wfd_metrics,ES,ES Environmental Agency,national_hydro,PDF,2017-01-01,2023-12-31,6,2022-09-28,monthly,country_level,False,,False,5,ecological status|river basin management|Water Framework Directive|pressures and impacts|programme of measures,False,1,False,0.27,Insufficient,0.1,0.6,0.3,0.2,0.0,0.2,0.5,0.4650000000000001,Partial,1.0,0.2,0.5,0.5,0.2,0.0,0.1,0.32000000000000006,Insufficient,0.5,0.3,0.4,0.2,0.2,0.0,0.1
eu-water-76a19898d47b,Water Quality Monitoring Data - FI,,0,water_quality,FI,FI Water Agency,national_hydro,CSV,2017-01-01,2022-12-31,5,2025-12-15,weekly,region_name,False,restricted,False,0,,True,1,False,0.6000000000000001,Partial,0.5,0.8,0.5,0.9,0.3,0.0,1.0,0.595,Partial,0.6,0.0,1.0,1.0,0.9,0.3,0.5,0.5650000000000001,Partial,1.0,0.3,0.4,0.9,0.0,0.3,0.5
eu-water-c525034dfe7e,WFD Status Assessment - IE,,0,wfd_metrics,IE,IE Hydrological Service,national_hydro,CSV,2010-01-01,2025-12-31,15,2024-12-11,annual,,False,EU-ODP,True,3,water body status|programme of measures|pressures and impacts,False,1,False,0.34500000000000003,Insufficient,0.1,0.3,0.0,0.9,1.0,0.0,0.5,0.52,Partial,1.0,0.0,0.0,0.5,0.9,1.0,0.1,0.455,Partial,0.5,0.3,0.4,0.9,0.0,1.0,0.1
eu-water-60a86fa192c7,Biological Quality Elements - BG,Aggregated statistics on bathing water derived from national reporting systems. Includes both raw measurements and derived indicators.,17,water_quality,BG,Joint Research Centre,eu_agency,CSV,2012-01-01,2022-12-31,10,2024-07-27,weekly,country_level,False,restricted,False,4,drinking water|biological quality|water quality|surface water,False,1,False,0.44500000000000006,Partial,0.1,0.8,0.3,0.9,0.3,0.2,0.5,0.5650000000000001,Partial,1.0,0.2,0.5,0.5,0.9,0.3,0.1,0.44000000000000006,Partial,0.5,0.3,0.4,0.9,0.2,0.3,0.1
eu-water-6281a7041498,Flood Risk Assessment - FR,Aggregated statistics on flood risk derived from national reporting systems.,10,floods,FR,FR Environmental Agency,national_hydro,JSON,2006-01-01,2021-12-31,15,2025-12-17,annual,,False,CC-BY-4.0,True,0,,False,1,False,0.43000000000000005,Partial,0.5,0.3,0.0,0.9,1.0,0.2,0.0,0.5050000000000001,Partial,1.0,0.2,0.0,0.0,0.9,1.0,0.5,0.37000000000000005,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.5
eu-water-12ad57391700,Groundwater Body Status - SE,This dataset contains groundwater level data collected from monitoring stations across the region.,13,groundwater,SE,SE Water Agency,national_hydro,API,2020-01-01,2025-12-31,5,2025-12-26,monthly,coordinates,True,restricted,False,0,,False,2,True,0.635,Partial,0.5,0.6,1.0,1.0,0.3,0.2,0.0,0.4650000000000001,Partial,0.6,0.2,0.8,0.0,1.0,0.3,0.5,0.55,Partial,0.0,1.0,0.7,1.0,0.2,0.3,0.5
eu-water-15cecf94fae3,Remote Sensing Water Data - IT,Comprehensive water information compiled under EU reporting requirements.,8,cross_cutting,IT,IT Data Provider,other,,2019-01-01,2022-12-31,3,2022-02-20,irregular,,False,CC0,True,1,,False,1,False,0.19,Insufficient,0.1,0.2,0.0,0.0,1.0,0.2,0.3,0.33999999999999997,Insufficient,0.6,0.2,0.0,0.3,0.0,1.0,0.1,0.29000000000000004,Insufficient,0.3,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-0d0fd0c0cba7,Historical Flood Events - LU,This dataset contains return period data collected from monitoring stations across the region.,13,floods,LU,LU River Basin District,regional,,2002-01-01,2022-12-31,20,2025-11-21,annual,region_name,False,restricted,False,4,coastal flood|flood|flash flood|return period,False,1,False,0.3500000000000001,Insufficient,0.5,0.3,0.5,0.0,0.3,0.2,0.5,0.5700000000000001,Partial,1.0,0.2,1.0,0.5,0.0,0.3,0.5,0.32500000000000007,Insufficient,0.5,0.3,0.4,0.0,0.2,0.3,0.5
eu-water-2713877afd10,Groundwater Body Status - IE,Time series data for groundwater parameters measured at multiple locations.,10,groundwater,IE,Joint Research Centre,eu_agency,GeoTIFF,2015-01-01,2025-12-31,10,2026-01-22,monthly,region_name,False,CC0,True,2,groundwater|groundwater level,True,2,True,0.7000000000000001,Ready,0.8,0.6,0.5,0.8,1.0,0.2,1.0,0.8100000000000002,Ready,1.0,0.2,1.0,1.0,0.8,1.0,0.8,0.8200000000000001,Ready,1.0,1.0,0.7,0.8,0.2,1.0,0.8
eu-water-7b4b4b53d117,Water Quality Monitoring Data - PL,This dataset contains water quality data collected from monitoring stations across the region.,13,water_quality,PL,Eurostat,eu_agency,Shapefile,2021-01-01,2022-12-31,1,2025-11-23,annual,country_level,False,restricted,False,0,,True,4,True,0.44749999999999995,Partial,0.5,0.3,0.3,0.75,0.3,0.2,1.0,0.47,Partial,0.3,0.2,0.5,1.0,0.75,0.3,0.5,0.7625,Ready,1.0,1.0,0.7,0.75,0.2,0.3,0.5
eu-water-16a0b9985db8,Surface Water Chemistry - NL,,0,water_quality,NL,NL Water Agency,national_hydro,CSV,,,0,2025-12-25,unknown,country_level,False,custom_open,True,5,bathing water|water quality|chemical status|biological quality|surface water,False,1,False,0.44500000000000006,Partial,0.5,0.0,0.3,0.9,1.0,0.0,0.5,0.365,Insufficient,0.0,0.0,0.5,0.5,0.9,1.0,0.5,0.47500000000000003,Partial,0.5,0.3,0.4,0.9,0.0,1.0,0.5
eu-water-d86c05af1185,Biological Quality Elements - ES,This dataset contains surface water data collected from monitoring stations across the region.,13,water_quality,ES,Eurostat,eu_agency,API,2022-01-01,2025-12-31,3,2023-10-18,weekly,region_name,False,EU-ODP,True,2,surface water|water quality,True,1,False,0.5950000000000001,Partial,0.1,0.8,0.5,1.0,1.0,0.2,1.0,0.695,Partial,0.6,0.2,1.0,1.0,1.0,1.0,0.1,0.6150000000000001,Partial,1.0,0.3,0.4,1.0,0.2,1.0,0.1
eu-water-eaceeac62846,Historical Flood Events - DK,,0,floods,DK,DK Ministry of Agriculture,ministry,,,,0,2023-08-13,annual,,False,restricted,False,0,,False,1,False,0.11499999999999999,Insufficient,0.1,0.3,0.0,0.0,0.3,0.0,0.0,0.035,Insufficient,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.16000000000000003,Insufficient,0.0,0.3,0.4,0.0,0.0,0.3,0.1
eu-water-d7a3d717ba58,Aquifer Characteristics - FR,Spatial dataset representing groundwater level conditions based on field surveys and modeling.,12,groundwater,FR,European Environment Agency,eu_agency,PDF,2020-01-01,2025-12-31,5,2022-03-15,monthly,bbox,True,restricted,False,0,,True,3,True,0.465,Partial,0.1,0.6,1.0,0.2,0.3,0.2,1.0,0.515,Partial,0.6,0.2,0.8,1.0,0.2,0.3,0.1,0.66,Partial,1.0,1.0,0.7,0.2,0.2,0.3,0.1
eu-water-273003ce012e,Aquifer Characteristics - BE,,0,groundwater,BE,BE Environmental Agency,national_hydro,Shapefile,2018-01-01,2020-12-31,2,2025-11-29,weekly,country_level,False,CC-BY-4.0,True,1,aquifer,False,1,False,0.5725,Partial,0.5,0.8,0.3,0.75,1.0,0.0,0.3,0.395,Insufficient,0.3,0.0,0.5,0.3,0.75,1.0,0.5,0.4025,Partial,0.3,0.3,0.4,0.75,0.0,1.0,0.5
eu-water-6dc5042d50bb,Wastewater Treatment Data - AT,Aggregated statistics on water treatment derived from national reporting systems.,10,utilities,AT,AT River Basin District,regional,PDF,2021-01-01,2024-12-31,3,2025-12-14,annual,coordinates,True,restricted,False,3,water supply|UWWTD|wastewater,False,3,True,0.4800000000000001,Partial,0.5,0.3,1.0,0.2,0.3,0.2,0.5,0.4600000000000001,Partial,0.6,0.2,0.8,0.5,0.2,0.3,0.5,0.555,Partial,0.5,1.0,0.7,0.2,0.2,0.3,0.5
eu-water-98e7801270f3,Groundwater Body Status - PT,,0,groundwater,PT,PT Ministry of Agriculture,ministry,NetCDF,,,0,2025-12-17,annual,region_name,False,restricted,False,1,aquifer,False,4,True,0.4575,Partial,0.5,0.3,0.5,0.85,0.3,0.0,0.3,0.3350000000000001,Insufficient,0.0,0.0,1.0,0.3,0.85,0.3,0.5,0.5825,Partial,0.3,1.0,0.7,0.85,0.0,0.3,0.5
eu-water-5ffbcba82c35,Agricultural Pollution - FR,,0,agricultural_runoff,FR,European Environment Agency,eu_agency,JSON,2019-01-01,2020-12-31,1,2025-12-05,monthly,coordinates,True,CC-BY-4.0,True,0,,False,1,False,0.68,Partial,0.5,0.6,1.0,0.9,1.0,0.0,0.0,0.41000000000000003,Partial,0.3,0.0,0.8,0.0,0.9,1.0,0.5,0.35000000000000003,Insufficient,0.0,0.3,0.4,0.9,0.0,1.0,0.5
eu-water-54c83641274c,Groundwater Body Status - DE,This dataset contains aquifer data collected from monitoring stations across the region. Harmonized with EU-level reporting standards.,17,groundwater,DE,University of DE,research,PDF,2022-01-01,2025-12-31,3,2026-01-23,unknown,region_name,False,restricted,False,0,,False,4,True,0.3700000000000001,Insufficient,0.8,0.0,0.5,0.2,0.3,0.2,0.0,0.43000000000000005,Partial,0.6,0.2,1.0,0.0,0.2,0.3,0.8,0.44500000000000006,Partial,0.0,1.0,0.7,0.2,0.2,0.3,0.8
eu-water-f199d13bc42f,Surface Water Chemistry - ES,This dataset contains surface water data collected from monitoring stations across the region. Data quality has been validated according to standard procedures.,22,water_quality,ES,European Environment Agency,eu_agency,Shapefile,2017-01-01,2023-12-31,6,2026-01-17,irregular,,False,restricted,False,0,,True,5,True,0.45250000000000007,Partial,0.8,0.2,0.0,0.75,0.3,0.4,1.0,0.625,Partial,1.0,0.4,0.0,1.0,0.75,0.3,0.8,0.7975,Ready,1.0,1.0,0.7,0.75,0.4,0.3,0.8
eu-water-a45781346783,Groundwater Level Measurements - EE,Time series data for quantitative status parameters measured at multiple locations.,11,groundwater,EE,EE Ministry of Environment,ministry,JSON,2021-01-01,2024-12-31,3,2025-02-01,annual,region_name,False,,False,0,,False,5,True,0.33,Insufficient,0.1,0.3,0.5,0.9,0.0,0.2,0.0,0.435,Partial,0.6,0.2,1.0,0.0,0.9,0.0,0.1,0.5,Partial,0.0,1.0,0.7,0.9,0.2,0.0,0.1
eu-water-a3948ddb8895,Water Supply Statistics - BE,,0,utilities,BE,BE Data Provider,other,NetCDF,,,0,2023-01-03,annual,region_name,False,,False,0,,False,1,False,0.3125,Insufficient,0.1,0.3,0.5,0.85,0.0,0.0,0.0,0.24,Insufficient,0.0,0.0,1.0,0.0,0.85,0.0,0.1,0.2725,Insufficient,0.0,0.3,0.4,0.85,0.0,0.0,0.1
eu-water-908aa78b8b97,Remote Sensing Water Data - PL,Time series data for data parameters measured at multiple locations. Includes both raw measurements and derived indicators.,17,cross_cutting,PL,PL Ministry of Environment,ministry,CSV,2021-01-01,2022-12-31,1,2025-05-01,monthly,bbox,True,restricted,False,0,,False,3,True,0.5700000000000001,Partial,0.3,0.6,1.0,0.9,0.3,0.2,0.0,0.37,Insufficient,0.3,0.2,0.8,0.0,0.9,0.3,0.3,0.525,Partial,0.0,1.0,0.7,0.9,0.2,0.3,0.3
