dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency,impact_score,impact_publisher_type,impact_operational_keywords,impact_format_accessibility,impact_temporal_extent,impact_spatial_scope,early_warning_priority,compliance_reporting_priority,cross_border_priority,task,priority_rank
eu-water-0e5cf3880a93,Water Supply Statistics - EE,Comprehensive wastewater information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,16,utilities,EE,EE Hydrological Service,national_hydro,Shapefile,2015-01-01,2025-12-31,10,2022-02-07,weekly,region_name,False,,False,0,,False,1,False,0.4075,Partial,0.1,0.8,0.5,0.75,0.0,0.2,0.0,0.5200000000000001,Partial,1.0,0.2,1.0,0.0,0.75,0.0,0.1,0.2775,Insufficient,0.0,0.3,0.4,0.75,0.2,0.0,0.1,0.88,1.0,1.0,0.75,0.8,0.6,0.5214,0.4223999999999999,0.6357999999999999,cross_border,5
eu-water-516e515b0fc7,Water Quality Monitoring Data - RO,,0,water_quality,RO,RO Water Agency,national_hydro,NetCDF,2017-01-01,2023-12-31,6,2023-07-22,annual,bbox,True,restricted,False,0,,False,1,False,0.4425,Partial,0.1,0.3,1.0,0.85,0.3,0.0,0.0,0.49,Partial,1.0,0.0,0.8,0.0,0.85,0.3,0.1,0.2875,Insufficient,0.0,0.3,0.4,0.85,0.0,0.3,0.1,0.87,1.0,1.0,0.85,0.6,0.6,0.485025,0.4437,0.6198750000000001,cross_border,6
eu-water-bcd6352f11bb,Nitrate Concentrations - PL,This dataset contains water data collected from monitoring stations across the region.,12,agricultural_runoff,PL,PL Environmental Agency,national_hydro,NetCDF,2005-01-01,2025-12-31,20,2026-02-13,irregular,country_level,False,,False,0,,False,1,False,0.4875,Partial,1.0,0.2,0.3,0.85,0.0,0.2,0.0,0.5000000000000001,Partial,1.0,0.2,0.5,0.0,0.85,0.0,1.0,0.3375,Insufficient,0.0,0.3,0.4,0.85,0.2,0.0,1.0,0.9299999999999999,1.0,1.0,0.85,1.0,0.6,0.4766249999999999,0.46499999999999986,0.6161249999999999,cross_border,7
eu-water-dfc3608191a4,Integrated Water Resources - IT,This dataset contains monitoring data collected from monitoring stations across the region.,12,cross_cutting,IT,IT Hydrological Service,national_hydro,CSV,2014-01-01,2020-12-31,6,2024-10-13,monthly,region_name,False,,False,0,,False,1,False,0.39,Insufficient,0.1,0.6,0.5,0.9,0.0,0.2,0.0,0.535,Partial,1.0,0.2,1.0,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.88,1.0,1.0,0.9,0.6,0.6,0.5367999999999999,0.40919999999999995,0.616,cross_border,8
eu-water-2f0d600a9b89,Pesticide Monitoring - DK,Comprehensive data information compiled under EU reporting requirements.,8,agricultural_runoff,DK,DK Environmental Agency,national_hydro,CSV,2019-01-01,2024-12-31,5,2022-06-09,monthly,coordinates,True,,False,0,,False,1,False,0.49,Partial,0.1,0.6,1.0,0.9,0.0,0.2,0.0,0.405,Partial,0.6,0.2,0.8,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.88,1.0,1.0,0.9,0.6,0.6,0.44880000000000003,0.5236,0.616,cross_border,9
eu-water-000d7228450d,Groundwater Body Status - FR,Time series data for hydrogeology parameters measured at multiple locations. Updated regularly as part of ongoing monitoring programs.,18,groundwater,FR,FR Environmental Agency,national_hydro,,2008-01-01,2023-12-31,15,2025-03-13,annual,coordinates,True,EU-ODP,True,0,,False,1,False,0.445,Partial,0.3,0.3,1.0,0.0,1.0,0.2,0.0,0.525,Partial,1.0,0.2,0.8,0.0,0.0,1.0,0.3,0.225,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.3,0.79,1.0,1.0,0.3,0.8,0.6,0.43844999999999995,0.37525,0.6122500000000001,cross_border,10
eu-water-0a014caeac57,Water Quality Monitoring Data - PL,,0,water_quality,PL,PL Environmental Agency,national_hydro,,2018-01-01,2023-12-31,5,2024-11-11,monthly,country_level,False,CC-BY-4.0,True,0,,False,1,False,0.305,Insufficient,0.1,0.6,0.3,0.0,1.0,0.0,0.0,0.3299999999999999,Insufficient,0.6,0.0,0.5,0.0,0.0,1.0,0.1,0.195,Insufficient,0.0,0.3,0.4,0.0,0.0,1.0,0.1,0.76,1.0,1.0,0.3,0.6,0.6,0.5282,0.5092000000000001,0.6118,cross_border,11
eu-water-7017c925167a,Water Quality Monitoring Data - PL,,0,water_quality,PL,PL Hydrological Service,national_hydro,Shapefile,2013-01-01,2023-12-31,10,2022-05-30,monthly,bbox,True,EU-ODP,True,0,,False,1,False,0.5575,Partial,0.1,0.6,1.0,0.75,1.0,0.0,0.0,0.55,Partial,1.0,0.0,0.8,0.0,0.75,1.0,0.1,0.3075,Insufficient,0.0,0.3,0.4,0.75,0.0,1.0,0.1,0.88,1.0,1.0,0.75,0.8,0.6,0.3894,0.39599999999999996,0.6094,cross_border,12
eu-water-67c3a0c43b5f,Pesticide Monitoring - AT,Spatial dataset representing water conditions based on field surveys and modeling. Data quality has been validated according to standard procedures.,20,agricultural_runoff,AT,AT Environmental Agency,national_hydro,,2020-01-01,2025-12-31,5,2022-06-05,irregular,,False,restricted,False,0,,False,1,False,0.115,Insufficient,0.1,0.2,0.0,0.0,0.3,0.4,0.0,0.265,Insufficient,0.6,0.4,0.0,0.0,0.0,0.3,0.1,0.2,Insufficient,0.0,0.3,0.4,0.0,0.4,0.3,0.1,0.76,1.0,1.0,0.3,0.6,0.6,0.6726,0.5586,0.6080000000000001,cross_border,13
eu-water-94e3e314e3b9,Pesticide Monitoring - IT,Comprehensive water information compiled under EU reporting requirements.,8,agricultural_runoff,IT,Copernicus,eu_agency,XML,2007-01-01,2022-12-31,15,2025-05-09,monthly,coordinates,True,,False,0,,False,1,False,0.51,Partial,0.3,0.6,1.0,0.7,0.0,0.2,0.0,0.495,Partial,1.0,0.2,0.8,0.0,0.7,0.0,0.3,0.28,Insufficient,0.0,0.3,0.4,0.7,0.2,0.0,0.3,0.84,0.9,1.0,0.7,0.8,0.6,0.41159999999999997,0.42419999999999997,0.6048,cross_border,14
eu-water-e2200ee88107,Water Quality Monitoring Data - PL,,0,water_quality,PL,PL Hydrological Service,national_hydro,Shapefile,2018-01-01,2024-12-31,6,2026-01-29,daily,coordinates,True,,False,0,,False,1,False,0.7125000000000001,Ready,0.8,1.0,1.0,0.75,0.0,0.0,0.0,0.485,Partial,1.0,0.0,0.8,0.0,0.75,0.0,0.8,0.2925,Insufficient,0.0,0.3,0.4,0.75,0.0,0.0,0.8,0.85,1.0,1.0,0.75,0.6,0.6,0.24437499999999987,0.43775,0.601375,cross_border,15
eu-water-8d88071d8b41,Water Quality Monitoring Data - NL,,0,water_quality,NL,NL Environmental Agency,national_hydro,CSV,,,0,2023-12-30,daily,country_level,False,restricted,False,0,,False,1,False,0.45,Partial,0.1,1.0,0.3,0.9,0.3,0.0,0.0,0.2,Insufficient,0.0,0.0,0.5,0.0,0.9,0.3,0.1,0.295,Insufficient,0.0,0.3,0.4,0.9,0.0,0.3,0.1,0.85,1.0,1.0,0.9,0.4,0.6,0.4675,0.68,0.5992500000000001,cross_border,16
eu-water-e8db4093668d,Surface Water Chemistry - DK,This dataset contains drinking water data collected from monitoring stations across the region.,13,water_quality,DK,European Environment Agency,eu_agency,CSV,2014-01-01,2020-12-31,6,2024-03-09,annual,bbox,True,,False,0,,False,1,False,0.43,Partial,0.1,0.3,1.0,0.9,0.0,0.2,0.0,0.505,Partial,1.0,0.2,0.8,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.8500000000000001,0.9,1.0,0.9,0.6,0.6,0.4845000000000001,0.42075,0.595,cross_border,17
eu-water-9ff1c56c7b42,Historical Flood Events - DE,Spatial dataset representing flood conditions based on field surveys and modeling. Updated regularly as part of ongoing monitoring programs.,19,floods,DE,DE Water Agency,national_hydro,JSON,2019-01-01,2022-12-31,3,2024-08-04,weekly,coordinates,True,,False,0,,False,1,False,0.53,Partial,0.1,0.8,1.0,0.9,0.0,0.2,0.0,0.405,Partial,0.6,0.2,0.8,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.85,1.0,1.0,0.9,0.4,0.6,0.39949999999999997,0.5057499999999999,0.595,cross_border,18
eu-water-477adb2f4e1e,Flood Risk Assessment - SI,Comprehensive flood information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,16,floods,SI,SI Water Agency,national_hydro,,,,0,2025-12-11,unknown,country_level,False,,False,0,,False,1,False,0.195,Insufficient,0.5,0.0,0.3,0.0,0.0,0.2,0.0,0.14,Insufficient,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.185,Insufficient,0.0,0.3,0.4,0.0,0.2,0.0,0.5,0.73,1.0,1.0,0.3,0.4,0.6,0.5876499999999999,0.6278,0.59495,cross_border,19
eu-water-48d3f5343920,Flood Risk Assessment - DE,This dataset contains coastal flood data collected from monitoring stations across the region. Covers all relevant water bodies within the jurisdiction.,21,floods,DE,DE Environmental Agency,national_hydro,,2023-01-01,2025-12-31,2,2024-03-28,annual,,False,,False,0,,False,1,False,0.105,Insufficient,0.1,0.3,0.0,0.0,0.0,0.4,0.0,0.16,Insufficient,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.185,Insufficient,0.0,0.3,0.4,0.0,0.4,0.0,0.1,0.73,1.0,1.0,0.3,0.4,0.6,0.65335,0.6132,0.59495,cross_border,20
